Gene.name	Mouse.gene.name	Chicken.gene.name
PGLS	Pgls	PGLS
BAHD1	Bahd1	BAHD1
HEXIM1	Hexim1	HEXIM1
NMRAL1	Nmral1	NMRAL1
NMT1	Nmt1	NMT1
ZNF639	Zfp639	ZNF639
CHST14	Chst14	CHST14
TLE5	Tle5	TLE5
IVD	Ivd	IVD
C5orf24	B230219D22Rik	C5orf24
KLHDC3	Klhdc3	KLHDC3
TXNDC15	Txndc15	TXNDC15
USP5	Usp5	USP5
MFN1	Mfn1	MFN1
MFSD4A	Mfsd4a	MFSD4A
HAGHL	Haghl	HAGHL
SPARC	Sparc	SPARC
PLXDC1	Plxdc1	PLXDC1
CYRIB	Cyrib	CYRIB
ABCB6	Abcb6	ABCB6
MYB	Myb	MYB
MYO5A	Myo5a	MYO5A
TBX19	Tbx19	TBX19
NR5A2	Nr5a2	NR5A2
PTPRB	Ptprb	PTPRB
GLRA1	Glra1	GLRA1
CACNB1	Cacnb1	CACNB1
RGS8	Rgs8	RGS8
GNB4	Gnb4	GNB4
ATG9A	Atg9a	ATG9A
SLC45A2	Slc45a2	SLC45A2
RASGRP1	Rasgrp1	RASGRP1
AMACR	Amacr	AMACR
SCYL3	Scyl3	SCYL3
DUSP10	Dusp10	DUSP10
CDH1	Cdh1	CDH1
ACTL6A	Actl6a	ACTL6A
OR51E2	Olfr78	OR51E2
TSG101	Tsg101	TSG101
CSMD1	Csmd1	CSMD1
SNCB	Sncb	SNCB
NMNAT2	Nmnat2	NMNAT2
SLC16A5	Slc16a5	SLC16A5
EIF4E1B	Eif4e1b	EIF4E1B
TARBP1	Tarbp1	TARBP1
MRPL47	Mrpl47	MRPL47
ANKZF1	Ankzf1	ANKZF1
CREG1	Creg1	CREG1
LARP4B	Larp4b	LARP4B
MYD88	Myd88	MYD88
JPT1	Jpt1	HN1
SRFBP1	Srfbp1	SRFBP1
SPTY2D1	Spty2d1	SPTY2D1
CPN2	Cpn2	CPN2
LRRC15	Lrrc15	LRRC15
MYEF2	Myef2	MYEF2
LSG1	Lsg1	LSG1
GLB1L	Glb1l	GLB1L
ALKBH3	Gm27027	ALKBH3
TDRD5	Tdrd5	TDRD5
FAM43A	Fam43a	FAM43A
BHLHE40	Bhlhe40	BHLHE40
NUP85	Nup85	NUP85
GDF6	Gdf6	GDF6
ARL8B	Arl8b	ARL8B
C11orf96	Gm13889	C5H11ORF96
SCCPDH	Sccpdh	SCCPDH
EDEM1	Edem1	EDEM1
CEP350	Cep350	CEP350
ACSM5	Acsm5	ACSM5
UPF1	Upf1	UPF1
ALX4	Alx4	ALX4
ERC2	Erc2	ERC2
TTBK2	Ttbk2	TTBK2
EXT2	Ext2	EXT2
GGA3	Gga3	GGA3
PTPRN	Ptprn	PTPRN
IRF6	Irf6	IRF6
B2M	B2m	B2M
ELK4	Elk4	ELK4
CCDC66	Ccdc66	CCDC66
PIANP	Pianp	PIANP
TFB2M	Tfb2m	TFB2M
COPE	Cope	COPE
FRS2	Frs2	FRS2
LYPLAL1	Lyplal1	LYPLAL1
SETD6	Setd6	SETD6
CIBAR1	Cibar1	CIBAR1
PTPN9	Ptpn9	PTPN9
MPZL1	Mpzl1	MPZL1
CNOT1	Cnot1	CNOT1
TLE3	Tle3	TLE3
MRPS7	Mrps7	MRPS7
INTS7	Ints7	INTS7
TMEM68	Tmem68	TMEM68
SLC25A19	Slc25a19	SLC25A19
RERGL	Rergl	RERGL
DDX49	Ddx49	DDX49
NHEJ1	Nhej1	NHEJ1
C3orf70	2510009E07Rik	C3orf70
RPL27A	Rpl27a	RPL27A
ECRG4	Ecrg4	ECRG4
VPS8	Vps8	VPS8
NDUFAF2	Ndufaf2	NDUFAF2
UXS1	Uxs1	UXS1
RRM2B	Rrm2b	RRM2B
GRB2	Grb2	GRB2
LMBRD2	Lmbrd2	LMBRD2
MMP12	Mmp12	MMP10
DCUN1D5	Dcun1d5	DCUN1D5
NADK2	Nadk2	NADK2
C17orf75	5730455P16Rik	C17orf75
DYNC2H1	Dync2h1	DYNC2H1
TGFB1	Tgfb1	TGFB1
PIK3R4	Pik3r4	PIK3R4
PRDX6	Prdx6	PRDX6
PRKCSH	Prkcsh	PRKCSH
GGPS1	Ggps1	GGPS1
RAD21	Rad21	RAD21
SKP2	Skp2	SKP2
RPL19	Rpl19	RPL19
CLDN1	Cldn1	CLDN1
DUSP28	Dusp28	DUSP28
CLDN16	Cldn16	CLDN16
DPY30	Dpy30	DPY30
ATP2C1	Atp2c1	ATP2C1
BRINP3	Brinp3	BRINP3
SLC30A6	Slc30a6	SLC30A6
LMX1A	Lmx1a	LMX1A
PHB	Phb	PHB
TPGS1	Tpgs1	TPGS1
CDC34	Cdc34b	CDC34
SNORA50A	Gm26265	SNORA50A
SLC38A7	Slc38a7	SLC38A7
ATP2B1	Atp2b1	ATP2B1
ADGRB1	Adgrb1	ADGRB1
DIRAS1	Diras1	DIRAS1
SLC39A3	Slc39a3	SLC39A3
SPNS2	Spns2	SPNS2
SCN3A	Scn3a	SCN3A
SGTA	Sgta	SGTA
G3BP1	G3bp1	G3BP1
GOT2	Got2	GOT2
MYBBP1A	Mybbp1a	MYBBP1A
PTDSS2	Ptdss2	PTDSS2
AMIGO2	Amigo2	AMIGO2
RBL2	Rbl2	RBL2
HRAS	Hras	H-RAS
GPATCH2	Gpatch2	GPATCH2
RPGRIP1L	Rpgrip1l	RPGRIP1L
SMYD2	Smyd2	SMYD2
APIP	Apip	APIP
PPFIA2	Ppfia2	PPFIA2
THOP1	Thop1	THOP1
SRPK2	Srpk2	SRPK2
SMTNL2	Smtnl2	SMTNL2
PDHX	Pdhx	PDHX
IRX2	Irx2	IRX2
ADRB2	Adrb2	ADRB2
CDC20B	Cdc20b	CDC20B
SYT13	Syt13	SYT13
KMT2E	Kmt2e	KMT2E
DPT	Dpt	DPT
SLC16A14	Slc16a14	SLC16A14
ERBIN	Erbin	ERBIN
OPCML	Opcml	OPCML
CAPN8	Capn8	CAPN8
TUBB3	Tubb3	TUBB3
RHOU	Rhou	RHOU
TOR3A	Tor3a	TOR3A
CCL20	Ccl20	CCL20
BACE1	Bace1	BACE1
DAW1	Daw1	DAW1
ADAT1	Adat1	ADAT1
MED11	Med11	MED11
TAF6	Taf6	TAF6
RNF2	Rnf2	RNF2
VMO1	Vmo1	VMO1
KDM5B	Kdm5b	KDM5B
PSMB6	Psmb6	PSMB6
SLC44A2	Slc44a2	SLC44A2
RSF1	Rsf1	RSF1
ARNT2	Arnt2	ARNT2
ILF3	Ilf3	ILF3
ADAMTS15	Adamts15	ADAMTS15
OVCH2	Ovch2	OVCH2
DYTN	Dytn	DYTN
TMEM80	Tmem80	TMEM80
KIF3A	Kif3a	KIF3A
LPIN1	Lpin1	LPIN1
PDGFA	Pdgfa	PDGFA
HTR3A	Htr3a	HTR3A
SNRPA1	Snrpa1	SNRPA1
TFDP2	Tfdp2	TFDP2
RSPRY1	Rspry1	RSPRY1
TBX20	Tbx20	TBX20
LITAF	Litaf	LITAF
CNOT8	Cnot8	CNOT8
C3orf14	Gm49355	C3orf14
GRIN2A	Grin2a	GRIN2A
ISLR2	Islr2	ISLR2
TRANK1	Trank1	TRANK1
OR5AS1	Olfr1111	OR5AS1
CYP19A1	Cyp19a1	CYP19A1
PRPF40A	Prpf40a	PRPF40A
EMP2	Emp2	EMP2
SUCLG2	Suclg2	SUCLG2
ZNF319	Zfp319	ZNF319
NAGLU	Naglu	NAGLU
CENPN	Cenpn	CENPN
PLCD1	Plcd1	PLCD1
RGS5	Rgs5	RGS5
MRPL42	Mrpl42	MRPL42
COASY	Coasy	COASY
FUT4	Fut4	FUT4
CDC42SE2	Cdc42se2	CDC42SE2
IRAG1	Irag1	IRAG1
MAPK9	Mapk9	MAPK9
CNEP1R1	Cnep1r1	CNEP1R1
MTIF2	Mtif2	MTIF2
PSMC3IP	Psmc3ip	PSMC3IP
PARPBP	Parpbp	PARPBP
SSR3	Ssr3	SSR3
SPATA17	Spata17	SPATA17
ITPRIPL2	Itpripl2	ITPRIPL2
CCDC92	Ccdc92	CCDC92
PRRX1	Prrx1	PRRX1
PSMD6	Psmd6	PSMD6
MEIOB	Meiob	MEIOB
MAN2C1	Man2c1	MAN2C1
PUS7L	Pus7l	PUS7L
IVNS1ABP	Ivns1abp	IVNS1ABP
PLCH1	Plch1	PLCH1
TRIP12	Trip12	TRIP12
CDCA3	Cdca3	CDCA3
C8B	C8b	C8B
RIC8A	Ric8a	RIC8A
CLTB	Cltb	CLTB
NPEPPS	Npepps	NPEPPS
ASTN1	Astn1	ASTN1
WWTR1	Wwtr1	WWTR1
TBC1D9B	Tbc1d9b	TBC1D9B
ARHGAP39	Arhgap39	ARHGAP39
GNPTG	Gnptg	GNPTG
DPAGT1	Dpagt1	DPAGT1
LRIG1	Lrig1	LRIG1
TAF2	Taf2	TAF2
SCN8A	Scn8a	SCN8A
ATG9B	Atg9b	ATG9B
TMEM267	Tmem267	TMEM267
ZIC4	Zic4	ZIC4
DTL	Dtl	DTL
GBX1	Gbx1	GBX1
FOXL3	Foxl3	FOXL3
SEM1	Sem1	SHFM1
PCDH1	Pcdh1	PCDH1
TRMT1L	Trmt1l	TRMT1L
FYB1	Fyb	FYB
THPO	Thpo	THPO
PKM	Pkm	PKLR
ACSM3	Acsm3	ACSM3
NMD3	Nmd3	NMD3
SOAT1	Soat1	SOAT1
WNT2	Wnt2	WNT2
MDH1	Mdh1	MDH1
CFTR	Cftr	CFTR
UBE2W	Ube2w	UBE2W
TNRC6C	Tnrc6c	TNRC6C
MOCS2	Mocs2	MOCS2
BATF3	Batf3	BATF3
CHRM4	Chrm4	CHRM4
CNST	Cnst	CNST
ARHGEF3	Arhgef3	ARHGEF3
REXO5	Rexo5	REXO5
NAT8	Nat8f2	NAT8B
TPRKB	Tprkb	TPRKB
SOX13	Sox13	SOX13
TMC6	Tmc6	TMC6
TBK1	Tbk1	TBK1
PDLIM4	Pdlim4	PDLIM4
NID1	Nid1	NID1
ELOC	Eloc	TCEB1
QPCTL	Qpctl	QPCTL
ASZ1	Asz1	ASZ1
SLC22A4	Slc22a4	SLC22A4
FBXO46	Fbxo46	FBXO46
ABI2	Abi2	ABI2
TMEM70	Tmem70	TMEM70
SEMA6B	Sema6b	SEMA6B
BTG2	Btg2	BTG2
C5orf22	6030458C11Rik	C5orf22
INO80	Ino80	INO80
NTM	Ntm	NTM
LY96	Ly96	LY96
MRPS14	Mrps14	MRPS14
CTTNBP2	Cttnbp2	CTTNBP2
ABAT	Abat	ABAT
PPP1R42	Ppp1r42	PPP1R42
P4HA2	P4ha2	P4HA2
CISH	Cish	CISH
RNF13	Rnf13	RNF13
TK1	Tk1	TK1
ANGPT1	Angpt1	ANGPT1
NFRKB	Nfrkb	NFRKB
LHX9	Lhx9	LHX9
CHPF2	Chpf2	CHPF2
UTP25	Utp25	DIEXF
BIRC5	Birc5	BIRC5
ORAI2	Orai2	ORAI3
DESI2	Desi2	DESI2
POU4F3	Pou4f3	POU4F3
NKIRAS1	Nkiras1	NKIRAS1
SLC26A9	Slc26a9	SLC26A9
RBM12B	Rbm12b1	RBM12B
DROSHA	Drosha	DROSHA
RASSF3	Rassf3	RASSF3
MGA	Mga	MGA
SNX17	Snx17	SNX17
STXBP5L	Stxbp5l	STXBP5L
TMEM186	Tmem186	TMEM186
GNS	Gns	GNS
CAVIN1	Cavin1	PTRF
GDPD4	Gdpd4	GDPD4
CARHSP1	Carhsp1	CARHSP1
STAT3	Stat3	STAT3
AMBRA1	Ambra1	AMBRA1
SLC45A3	Slc45a3	SLC45A3
ZNF513	Zfp513	ZNF513
ILDR2	Ildr2	ILDR2
PPM1G	Ppm1g	PPM1G
PURG	Purg	PURG
ST18	St18	ST18
NRBP1	Nrbp1	NRBP1
RYK	Ryk	RYK
RGMA	Rgma	RGMA
USP7	Usp7	USP7
KIF26B	Kif26b	KIF26B
PPP2R2B	Ppp2r2b	PPP2R2B
HEMK1	Hemk1	HEMK1
WIF1	Wif1	WIF1
RRP15	Rrp15	RRP15
ATP10A	Atp10a	ATP10A
MBD3L2B	Mbd3l2	MBD3
FFAR2	Ffar2	FFAR2L
SIDT1	Sidt1	SIDT1
TMEM59	Tmem59	TMEM59
LEMD3	Lemd3	LEMD3
DKK3	Dkk3	DKK3
KRTCAP3	Krtcap3	KRTCAP3
CCDC14	Ccdc14	CCDC14
SCARB1	Scarb1	SCARB1
DOK2	Dok2	DOK2
KNSTRN	Knstrn	KNSTRN
XPO7	Xpo7	XPO7
NIPAL4	Nipal4	NIPAL4
TTC13	Ttc13	TTC13
MRPL28	Mrpl28	MRPL28
CYB561D2	Cyb561d2	CYB561D2
STEAP2	Steap2	STEAP2
IFT172	Ift172	IFT172
HMGCR	Hmgcr	HMGCR
C3orf52	BC016579	C3orf52
PGAP6	Pgap6	PGAP6
FAM237B	Gm8773	FAM237B
ZNF777	Zfp777	ZNF777
CACYBP	Cacybp	CACYBP
UHRF1BP1	Uhrf1bp1	UHRF1BP1
LYSMD4	Lysmd4	LYSMD4
ADCY5	Adcy5	ADCY6
NME4	Nme4	NME4
EZR	Ezr	EZR
DMTN	Dmtn	DMTN
METTL7A	Mettl7a2	METTL7A
MEF2A	Mef2a	MEF2A
GCNT2	Gcnt2	GCNT2
TPH1	Tph1	TPH1
PDK4	Pdk4	PDK4
PPP1R12B	Ppp1r12b	PPP1R12B
LETMD1	Letmd1	LETMD1
ZNF148	Zfp148	ZNF148
DYNC1I1	Dync1i1	DYNC1I1
ESR1	Esr1	ESR1
DECR2	Decr2	DECR2
CAMK1	Camk1	CAMK1
GRM5	Grm5	GRM5
RUFY1	Rufy1	RUFY1
MCTP2	Mctp2	MCTP2
CSRNP2	Csrnp2	CSRNP2
MT1G	Mt1	MT4
ATG13	Atg13	ATG13
PLAGL1	Plagl1	PLAGL1
SFSWAP	Sfswap	SFSWAP
PTPN14	Ptpn14	PTPN14
JAGN1	Jagn1	JAGN1
MAPK6	Mapk6	MAPK4
MED20	Med20	MED20
TAT	Tat	TAT
PACRG	Pacrg	PACRG
MRPL34	Mrpl34	MRPL34
ULK1	Ulk1	ULK1
NHSL1	Nhsl1	NHSL1
MRPS12	Mrps12	MRPS12
CAPN2	Capn2	CAPN2
NIFK	Nifk	NIFK
PHLPP2	Phlpp2	PHLPP2
TSN	Tsn	TSN
SHF	Shf	SHF
COX7A2	Cox7a2	COX7A2
HIF3A	Hif3a	HIF3A
GRID2IP	Grid2ip	GRID2IP
PUS1	Pus1	PUS1
KCNH4	Kcnh4	KCNH4
BICRAL	Bicral	BICRAL
NEK2	Nek2	NEK2
VEGFA	Vegfa	VEGFA
HCRT	Hcrt	HCRT
CSGALNACT1	Csgalnact1	CSGALNACT1
GHDC	Ghdc	GHDC
ACVR2A	Acvr2a	ACVR2A
MDFIC	Mdfic	MDFIC
MICAL2	Mical2	MICAL2
AP1G1	Ap1g1	AP1G1
STAT5B	Stat5b	STAT5A
P2RX2	P2rx2	P2RX2
PRELP	Prelp	PRELP
STRA8	Stra8	STRA8
ORC4	Orc4	ORC4
RAB4A	Rab4a	RAB4A
GRIFIN	Grifin	GRIFIN
PLXNA4	Plxna4	PLXNA4
ZHX1	Zhx1	ZHX1
ZNF207	Zfp207	ZNF207
TOMM20	Tomm20	TOMM20
FAM83A	Fam83a	FAM83A
TADA1	Tada1	TADA1
REN	Ren1	REN
PDIA3	Pdia3	PDIA3
MBD5	Mbd5	MBD5
MTUS1	Mtus1	MTUS1
ARV1	Arv1	ARV1
TP53BP2	Trp53bp2	TP53BP2
CANX	Canx	CANX
SNORD71	Snord71	SNORD71
NICN1	Nicn1	NICN1
SOX6	Sox6	SOX6
SLC6A2	Slc6a2	SLC6A2
DAG1	Dag1	DAG1
POLE	Pole	POLE
SYT14	Syt14	SYT14
BSN	Bsn	BSN
DHRS7C	Dhrs7c	DHRS7C
APEH	Apeh	APEH
EEF1D	Eef1d	EEF1D
MALL	Mall	MALL
CASP12	Casp12	CASP14
SLCO2B1	Slco2b1	SLCO2B1
CLUH	Cluh	CLUH
CLEC3A	Clec3a	CLEC3A
BTF3L4	Btf3l4	BTF3L4
ACTN4	Actn4	ACTN4
TMEM266	Tmem266	TMEM266
WWOX	Wwox	WWOX
NPHP1	Nphp1	NPHP1
RNF123	Rnf123	RNF123
SWT1	Swt1	SWT1
ISL2	Isl2	ISL2
OTUD7A	Otud7a	OTUD7A
ERCC4	Ercc4	ERCC4
ARSI	Arsi	ARSI
FBXO28	Fbxo28	FBXO28
PPIP5K1	Ppip5k1	PPIP5K1
TCOF1	Tcof1	TCOF1
MIF4GD	Mif4gd	MIF4GD
PGAM5	Pgam5	PGAM5
CEP170	Cep170	CEP170
TCF3	Tcf3	TCF3
ABCC6	Abcc6	ABCC6
FBRSL1	Fbrsl1	FBRSL1
BAHCC1	Bahcc1	BAHCC1
TAAR5	Taar5	TAAR5
MYCT1	Myct1	MYCT1
ZNF609	Zfp609	ZNF609
C17orf58	1810010H24Rik	C17orf58
SOCS3	Socs3	SOCS3
OAZ2	Oaz2	OAZ2
ERBB2	Erbb2	ERBB2
AMIGO3	Amigo3	AMIGO3
USP49	Usp49	USP49
GMPPB	Gmppb	GMPPB
HSP90B1	Hsp90b1	HSP90B1
KLHL35	Klhl35	KLHL35
CDON	Cdon	CDON
PPL	Ppl	PPL
THSD4	Thsd4	THSD4
CIDEC	Cidec	CIDEC
LCLAT1	Lclat1	LCLAT1
KLHL18	Klhl18	KLHL18
SEC14L5	Sec14l5	SEC14L5
MIR190A	Mir190a	gga-mir-190a
SYNGR2	Syngr2	SYNGR2
TLN2	Tln2	TLN2
COP1	Cop1	COP1
RPS13	Rps13	RPS13
BCAS3	Bcas3	BCAS3
RPS14	Rps14	RPS14
CCDC78	Ccdc78	CCDC78
PIK3C2A	Pik3c2a	PIK3C2A
TDG	Tdg	TDG
SLC1A3	Slc1a3	SLC1A3
FMOD	Fmod	FMOD
WDSUB1	Wdsub1	WDSUB1
MED19	Med19	MED19
LRRK2	Lrrk2	LRRK2
SNORA63	Gm26447	SNORA63
SCG5	Scg5	SCG5
TTC36	Ttc36	TTC36
FOXL2	Foxl2	FOXL2
OSR2	Osr2	OSR2
RBP2	Rbp2	RBP2
EHBP1	Ehbp1	EHBP1
LRRC58	Lrrc58	LRRC58
TRIM71	Trim71	TRIM71
TIMP4	Timp4	TIMP4
INTS14	Ints14	VWA9
PRKCB	Prkcb	PRKCB
SLC6A15	Slc6a15	SLC6A15
TAOK1	Taok1	TAOK1
TAF8	Taf8	TAF8
CDC23	Cdc23	CDC23
RGS18	Rgs18	RGS18
PDCD10	Pdcd10	PDCD10
GNPAT	Gnpat	PDCD2
CCNYL1	Ccnyl1	CCNYL1
GFRA3	Gfra3	GFRA3
CACNG3	Cacng3	CACNG3
RBBP6	Rbbp6	RBBP6
RTF1	Rtf1	RTF1
VRK2	Vrk2	VRK2
IFT46	Ift46	IFT46
TGFB2	Tgfb2	TGFB2
TAF11	Taf11	TAF11
GANC	Ganc	GANC
SMIM8	Smim8	SMIM8
PCM1	Pcm1	PCM1
NUAK2	Nuak2	NUAK2
ODR4	Odr4	C8H1orf27
ASIC2	Asic2	ASIC2
PTPRQ	Ptprq	PTPRQ
SLC35A1	Slc35a1	SLC35A1
C16orf72	1810013L24Rik	C16orf72
CD3E	Cd3e	CD3E
PMM2	Pmm2	PMM2
MLX	Mlx	MLX
SEMA4B	Sema4b	SEMA4B
KDM3B	Kdm3b	KDM3B
SERPINI1	Serpini1	SERPINI1
RARS2	Rars2	RARS2
OTOGL	Otogl	OTOGL
GAS7	Gas7	GAS7
NSL1	Nsl1	NSL1
KCNJ8	Kcnj8	KCNJ8
ERMN	Ermn	ERMN
NUDT21	Nudt21	NUDT21
EGR1	Egr1	EGR1
CPLANE1	Cplane1	CPLANE1
SHPRH	Shprh	SHPRH
STMN4	Stmn4	STMN4
BBS2	Bbs2	BBS2
CERS6	Cers6	CERS6
PLSCR1	1700057G04Rik	PLSCR1
FBXW11	Fbxw11	FBXW11
CD8A	Cd8a	CD8A
PMP2	Pmp2	FABP9
GALNT2	Galnt2	GALNT2
MAP3K14	Map3k14	MAP3K14
FABP4	Fabp4	FABP4
CAP2	Cap2	CAP2
MAFK	Mafk	MAFK
ITGB1BP1	Itgb1bp1	ITGB1BP1
PHF21A	Phf21a	PHF21A
TMEM184A	Tmem184a	TMEM184A
IMPA1	Impa1	IMPA1
FAM114A2	Fam114a2	FAM114A2
KRT222	Krt222	KRT222
SMC4	Smc4	SMC4
SPRTN	Sprtn	SPRTN
PSMG3	Psmg3	PSMG3
ELFN1	Elfn1	ELFN1
KRT12	Krt12	KRT12
KRT20	Krt20	KRT40
FAM8A1	Fam8a1	FAM8A1
KRT23	Krt23	KRT23
PHACTR1	Phactr1	PHACTR1
WNT9A	Wnt9a	WNT9A
GNG4	Gng4	GNG4
MFAP3	Mfap3	MFAP3
PAPPA2	Pappa2	PAPPA2
C12orf43	2210016L21Rik	C12orf43
MDFI	Mdfi	MDFI
IRF1	Irf1	IRF1
CD79B	Cd79b	CD79B
NPHS2	Nphs2	NPHS2
TSNAX-DISC1	Tsnax	TSNAX
SCN4A	Scn4a	SCN4A
MIR15B	Mir15b	gga-mir-15b
MIR16-2	Mir16-2	gga-mir-16-2
TRIM59	Trim59	TRIM59
OASL	Oasl1	OASL
KPNA4	Kpna4	KPNA4
LRRN2	Lrrn2	LRRN2
ATXN1L	Atxn1l	ATXN1L
IST1	Ist1	IST1
PPP2R5A	Ppp2r5a	PPP2R5A
ANO6	Ano6	ANO6
SGCD	Sgcd	SGCD
ARL14	Arl14	ARL14
CHMP2B	Chmp2b	CHMP2B
ERN1	Ern1	ERN1
DDR2	Ddr2	DDR2
DIMT1	Dimt1	DIMT1
RIPPLY2	Ripply2	RIPPLY2
WNT5A	Wnt5a	WNT5A
THEMIS	Themis	THEMIS
MCUR1	Mcur1	MCUR1
MAPT	Mapt	MAPT
PHACTR2	Phactr2	PHACTR2
MFSD2B	Mfsd2b	MFSD2B
OPTC	Optc	OPTC
DYNC1I2	Dync1i2	DYNC1I2
SUCO	Suco	SUCO
RRP9	Rrp9	RRP9
GPR62	Gpr62	GPR62
EFNA5	Efna5	EFNA5
TCTN2	Tctn2	TCTN2
PRRC1	Prrc1	PRRC1
ZNF821	Zfp821	ZNF821
SIPA1	Sipa1	SIPA1
GRXCR2	Grxcr2	GRXCR2
ARPC3	Arpc3	ARPC3
SLC16A3	Slc16a3	SLC16A3
CDK7	Cdk7	CDK7
GPN3	Gpn3	GPN3
ATF3	Atf3	ATF3
ETFA	Etfa	ETFA
RNASEL	Rnasel	RNASEL
TMEM101	Tmem101	TMEM101
CCDC125	Ccdc125	CCDC125
PLXNA2	Plxna2	PLXNA2
TXNL4B	Txnl4b	TXNL4B
LSM12	Lsm12	LSM12
VPS29	Vps29	VPS29
G6PC3	G6pc3	G6PC3
DHX38	Dhx38	DHX38
RAD9B	Rad9b	RAD9B
RAD17	Rad17	RAD17
PLA2G4A	Pla2g4a	PLA2G4A
ASB16	Asb16	ASB16
STXBP5	Stxbp5	STXBP5
UBTF	Ubtf	UBTF
ETNK2	Etnk2	ETNK2
RPL29	Gm3550	RPL29
FADD	Fadd	FADD
PPTC7	Pptc7	PPTC7
ANO1	Ano1	ANO1
HVCN1	Hvcn1	HVCN1
HES2	Hes2	HES2
DUSP7	Dusp7	DUSP7
POC1A	Poc1a	POC1A
MTA3	Mta3	MTA3
PPP1CC	Ppp1cc	PPP1CC
ALAS1	Alas1	ALAS1
TRAF3IP3	Traf3ip3	TRAF3IP3
SPCS2	Spcs2	SPCS2
TWF2	Twf2	TWF2
RRAD	Rrad	RRAD
RELA	Rela	RELA
TCTN1	Tctn1	TCTN1
PPM1M	Ppm1m	PPM1M
CIAO2B	Ciao2b	CIAO2B
SNAP91	Snap91	SNAP91
MARVELD2	Marveld2	MARVELD2
WDR82	Wdr82	WDR82
LHX1	Lhx1	LHX1
GLYCTK	Glyctk	GLYCTK
IDH1	Idh1	IDH1
MIR135A1	Mir135a-1	gga-mir-135a-1
AATF	Aatf	AATF
BAP1	Bap1	BAP1
LPGAT1	Lpgat1	LPGAT1
GCGR	Gcgr	GCGR
PROX1	Prox1	PROX1
PFKFB2	Pfkfb2	PFKFB2
ST6GAL1	St6gal1	ST6GAL1
MCRIP1	Mcrip1	MCRIP1
PCSK7	Pcsk7	PCSK7
PID1	Pid1	PID1
PPP1R27	Ppp1r27	PPP1R27
SERPINE2	Serpine2	SERPINE2
ARHGDIA	Arhgdia	ARHGDIA
KLF15	Klf15	KLF15
CBFB	Cbfb	CBFB
CFAP100	Cfap100	CFAP100
NENF	Nenf	NENF
BABAM2	Babam2	BRE
HSF4	Hsf4	HSF4
DDX6	Ddx6	DDX6
TATDN3	Tatdn3	TATDN3
SLC27A6	Slc27a6	SLC27A6
UROC1	Uroc1	UROC1
TUBA1A	Tuba1a	TUBA1A
ZFAND1	Zfand1	ZFAND1
ISOC1	Isoc1	ISOC1
PRPH	Prph	PRPH
ALYREF	Gm4307	ALYREF
NRROS	Nrros	NRROS
PAK2	Pak2	PAK2
ZNF622	Zfp622	ZNF622
EIPR1	Eipr1	TSSC1
ARCN1	Arcn1	ARCN1
CEP19	Cep19	CEP19
ENC1	Enc1	ENC1
CADM2	Cadm2	CADM2
NME3	Nme3	NME3
SMIM3	Smim3	SMIM3
HIKESHI	Hikeshi	HIKESHI
MAN2A1	Man2a1	MAN2A1
UNC50	Unc50	UNC50
VWCE	Vwce	VWCE
COPB2	Copb2	COPB2
STC2	Stc2	STC2
MYO3B	Myo3b	MYO3B
SOCS1	Socs1	SOCS1
NUMA1	Numa1	NUMA1
APBB3	Apbb3	APBB3
C1QL4	C1ql4	C1QL4
DNAJC22	Dnajc22	DNAJC22
CHMP4C	Chmp4c	CHMP4C
QRICH1	Qrich1	QRICH1
PLBD2	Plbd2	PLBD2
NPB	Npb	NPB
PTPRC	Ptprc	PTPRC
PCYT2	Pcyt2	PCYT2
QARS1	Qars	QARS
SDSL	Sdsl	SDSL
GPAT4	Gpat4	GPAT4
LHX5	Lhx5	LHX5
CALHM4	Calhm4	CALHM4
GOLGA7	Golga7	GOLGA7
AMER3	Amer3	AMER3
SPAST	Spast	SPAST
RAB5B	Rab5b	RAB5B
CAMK1G	Camk1g	CAMK1G
DOK3	Dok3	DOK3
SUOX	Suox	SUOX
UAP1	Uap1	UAP1
RPS23	Rps23	RPS23
DCP2	Dcp2	DCP2
UHMK1	Uhmk1	UHMK1
SIRT7	Sirt7	SIRT7
IKZF4	Ikzf4	IKZF4
EME2	Eme2	EME2
LAMB3	Lamb3	LAMB3
ZNF608	Zfp608	ZNF608
KCNG4	Kcng4	KCNG4
USP31	Usp31	USP31
RPS26	Rps26	RPS26
DSTYK	Dstyk	DSTYK
HTRA2	Htra2	HTRA2
TTC1	Ttc1	TTC1
MAFG	Mafg	MAFG
BRICD5	Bricd5	BRICD5
PYCR1	Pycr1	PYCR1
RBFOX1	Rbfox1	RBFOX1
CFAP36	Cfap36	CFAP36
LEMD1	Lemd1	TMPO
PWWP2A	Pwwp2a	PWWP2A
ESYT1	Esyt1	ESYT1
ADAMTS19	Adamts19	ADAMTS19
ARHGEF10L	Arhgef10l	ARHGEF10L
PGR	Pgr	PGR
PLK2	Plk2	PLK2
UGP2	Ugp2	UGP2
ZC3H10	Zc3h10	ZC3H10
GRAMD1B	Gramd1b	GRAMD1B
SESN1	Sesn1	SESN1
GIN1	Gin1	GIN1
MYL6	Myl6	MYL6
NOS1AP	Nos1ap	NOS1AP
CERT1	Cert1	CERT1
LAMB2	Lamb2	LAMB2
RNPEP	Rnpep	RNPEP
MYADML2	Myadml2	MYADML2
NOTUM	Notum	NOTUM
